strain	accession	type	subtype	year	database
A/HongKong/20/1996	EPI_ISL_115514	A	H3N2	1996	GISAID
A/HongKong/218/2006	EPI_ISL_22000	A	H3N2	2006	GISAID
A/HongKong/2/1994	EPI_ISL_111131	A	H3N2	1994	GISAID
A/HongKong/26560/2009	CY121736	A	H3N2	2009	IRD
A/HongKong/280/1997	CY112845	A	H3N2	1997	IRD
A/HongKong/2831/2005	EPI_ISL_64664	A	H3N2	2005	GISAID
A/HongKong/3170/2010	EPI_ISL_81380	A	H3N2	2010	GISAID
A/HongKong/3/1995	EPI_ISL_115463	A	H3N2	1995	GISAID
A/HongKong/32/1995	CY112765	A	H3N2	1995	IRD
A/HongKong/34430/2009	EPI_ISL_66704	A	H3N2	2009	GISAID
A/HongKong/357/1996	EPI_ISL_115563	A	H3N2	1996	GISAID
A/HongKong/358/1996	EPI_ISL_115564	A	H3N2	1996	GISAID
A/HongKong/38/1995	CY112773	A	H3N2	1995	IRD
A/HongKong/3969/2011	EPI_ISL_94725	A	H3N2	2011	GISAID
A/HongKong/42/1996	EPI_ISL_115515	A	H3N2	1996	GISAID
A/HongKong/434/1996	EPI_ISL_115565	A	H3N2	1996	GISAID
A/HongKong/49/1995	EPI_ISL_115510	A	H3N2	1995	GISAID
A/HongKong/55/1994	CY112725	A	H3N2	1994	IRD
A/HongKong/55/1995	EPI_ISL_111173	A	H3N2	1995	GISAID
A/HongKong/56/1994	EPI_ISL_115414	A	H3N2	1994	GISAID
A/HongKong/734/2001	EPI_ISL_100391	A	H3N2	2001	GISAID
A/Idaho/2008/2003	EPI_ISL_17946	A	H3N2	2003	GISAID
A/Incheon/677/2006	EPI_ISL_20293	A	H3N2	2006	GISAID
A/Iowa/19/2010	EPI_ISL_88046	A	H3N2	2010	GISAID
A/Ishikawa/102/2002	EPI_ISL_11491	A	H3N2	2002	GISAID
A/Israel/22/2009	EPI_ISL_77134	A	H3N2	2009	GISAID
A/Israel/24/2009	EPI_ISL_77132	A	H3N2	2009	GISAID
A/Israel/26/2009	EPI_ISL_77133	A	H3N2	2009	GISAID
A/Johannesburg/10/1997	EPI_ISL_111314	A	H3N2	1997	GISAID
A/Johannesburg/107/2011	EPI_ISL_96037	A	H3N2	2011	GISAID
A/Johannesburg/113/2011	EPI_ISL_96036	A	H3N2	2011	GISAID
A/Johannesburg/114/2011	EPI_ISL_96038	A	H3N2	2011	GISAID
A/Johannesburg/15/2008	EPI_ISL_60841	A	H3N2	2008	GISAID
A/Johannesburg/153/2011	EPI_ISL_96035	A	H3N2	2011	GISAID
A/Johannesburg/33/1994	CY112733	A	H3N2	1994	IRD
A/Johannesburg/47/1994	CY112741	A	H3N2	1994	IRD
A/Johannesburg/73/2011	EPI_ISL_96029	A	H3N2	2011	GISAID
A/Johannesburg/78/2011	EPI_ISL_96030	A	H3N2	2011	GISAID
A/Johannesburg/79/2011	EPI_ISL_96031	A	H3N2	2011	GISAID
A/Johannesburg/94/2011	EPI_ISL_96033	A	H3N2	2011	GISAID
A/Johannesburg/99/2011	EPI_ISL_96034	A	H3N2	2011	GISAID
A/Kentucky/3/2006	EPI_ISL_21271	A	H3N2	2006	GISAID
A/Kitakyushu/5/2006	EPI_ISL_17705	A	H3N2	2006	GISAID
A/Korea/770/2002	EPI_ISL_11661	A	H3N2	2002	GISAID
A/Kumamoto/102/2002	EPI_ISL_11445	A	H3N2	2002	GISAID
A/Leningrad/360/1986	CY121277	A	H3N2	1986	IRD
A/Louisiana/4/2003	EF473536	A	H3N2	2003	IRD
A/Lyon/108/2005	EF566232	A	H3N2	2005	IRD
A/Lyon/1149/1991	EPI_ISL_114504	A	H3N2	1991	GISAID
A/Lyon/1182/1991	EPI_ISL_114505	A	H3N2	1991	GISAID
A/Lyon/1292/2006	EPI_ISL_20282	A	H3N2	2006	GISAID
A/Lyon/1313/2006	EPI_ISL_20284	A	H3N2	2006	GISAID
A/Lyon/1324/2006	EPI_ISL_20286	A	H3N2	2006	GISAID
A/Lyon/1331/2006	EPI_ISL_20288	A	H3N2	2006	GISAID
A/Lyon/1359/2006	EPI_ISL_20289	A	H3N2	2006	GISAID
A/Lyon/1381/2007	EPI_ISL_19157	A	H3N2	2007	GISAID
A/Lyon/1781/1996	EPI_ISL_115566	A	H3N2	1996	GISAID
A/Lyon/2279/1995	EPI_ISL_115511	A	H3N2	1995	GISAID
A/Lyon/2380/1981	EPI_ISL_114199	A	H3N2	1981	GISAID
A/Lyon/24222/1991	EPI_ISL_114559	A	H3N2	1991	GISAID
A/Lyon/636/2006	EPI_ISL_64166	A	H3N2	2006	GISAID
A/Lyon/672/1993	EPI_ISL_115111	A	H3N2	1993	GISAID
A/Lyon/Cx-R/3120/2009	EPI_ISL_77121	A	H3N2	2009	GISAID
A/Madrid/G102/1993	EPI_ISL_111020	A	H3N2	1993	GISAID
A/Madrid/G109/1993	EPI_ISL_115302	A	H3N2	1993	GISAID
A/Madrid/G12/1991	EPI_ISL_114607	A	H3N2	1991	GISAID
A/Madrid/G122/1993	EPI_ISL_115300	A	H3N2	1993	GISAID
A/Madrid/G130/1993	CY112573	A	H3N2	1993	IRD
A/Madrid/G252/1993	EPI_ISL_115304	A	H3N2	1993	GISAID
A/Madrid/G58/1992	EPI_ISL_114657	A	H3N2	1992	GISAID
A/Malaysia/1/2004	EPI_ISL_11955	A	H3N2	2004	GISAID
A/Memphis/2/1990	EPI_ISL_114452	A	H3N2	1990	GISAID
A/Memphis/5/1990	EPI_ISL_114453	A	H3N2	1990	GISAID
A/Minnesota/17/2010	EPI_ISL_87923	A	H3N2	2010	GISAID
A/Mississippi/1/1985	EPI_ISL_68905	A	H3N2	1985	GISAID
A/Mississippi/5/2004	EPI_ISL_21236	A	H3N2	2004	GISAID
A/Montana/439520/2005	EPI_ISL_64714	A	H3N2	2005	GISAID
A/Montana/5/2011	EPI_ISL_89798	A	H3N2	2011	GISAID
A/Moscow/10/1999	EPI_ISL_2695	A	H3N2	1999	GISAID
A/Nanchang/933/1995	EPI_ISL_111174	A	H3N2	1995	GISAID
A/Nepal/1646/2004	EPI_ISL_17243	A	H3N2	2004	GISAID
A/Nepal/921/2006	CY121512	A	H3N2	2006	IRD
A/Netherlands/101/1993	EPI_ISL_115305	A	H3N2	1993	GISAID
A/Netherlands/115/1993	CY112597	A	H3N2	1993	IRD
A/Netherlands/118/2001	EPI_ISL_111376	A	H3N2	2001	GISAID
A/Netherlands/1/1995	EPI_ISL_115512	A	H3N2	1995	GISAID
A/Netherlands/1/2002	EPI_ISL_110654	A	H3N2	2002	GISAID
A/Netherlands/124/2001	EPI_ISL_115622	A	H3N2	2001	GISAID
A/Netherlands/126/1993	EPI_ISL_115353	A	H3N2	1993	GISAID
A/Netherlands/126/2001	EPI_ISL_115623	A	H3N2	2001	GISAID
A/Netherlands/18/1994	EPI_ISL_115458	A	H3N2	1994	GISAID
A/Netherlands/209/1980	EPI_ISL_114198	A	H3N2	1980	GISAID
A/Netherlands/22/2003	EPI_ISL_110690	A	H3N2	2003	GISAID
A/Netherlands/241/1982	EPI_ISL_114201	A	H3N2	1982	GISAID
A/Netherlands/241/1993	EPI_ISL_111044	A	H3N2	1993	GISAID
A/Netherlands/271/1995	EPI_ISL_111181	A	H3N2	1995	GISAID
A/Netherlands/300/1997	EPI_ISL_115619	A	H3N2	1997	GISAID
A/Netherlands/301/1999	EPI_ISL_84904	A	H3N2	1999	GISAID
A/Netherlands/3/1993	EPI_ISL_111022	A	H3N2	1992	GISAID
A/Netherlands/3/2000	EPI_ISL_115621	A	H3N2	2000	GISAID
A/Netherlands/330/1985	EPI_ISL_114247	A	H3N2	1985	GISAID
A/Netherlands/333/1985	EPI_ISL_114248	A	H3N2	1985	GISAID
A/Netherlands/371/1993	CY112621	A	H3N2	1993	IRD
A/Netherlands/414/1998	CY112893	A	H3N2	1998	IRD
A/Netherlands/427/1998	EPI_ISL_111373	A	H3N2	1998	GISAID
A/Netherlands/450/1988	EPI_ISL_114297	A	H3N2	1988	GISAID
A/Netherlands/462/1998	EPI_ISL_115620	A	H3N2	1998	GISAID
A/Netherlands/5/1998	EPI_ISL_115772	A	H3N2	1998	GISAID
A/Netherlands/620/1989	EPI_ISL_114347	A	H3N2	1989	GISAID
A/Netherlands/650/1989	EPI_ISL_114348	A	H3N2	1989	GISAID
A/Netherlands/738/1989	EPI_ISL_114349	A	H3N2	1989	GISAID
A/Netherlands/816/1991	EPI_ISL_114608	A	H3N2	1991	GISAID
A/Netherlands/823/1992	EPI_ISL_114661	A	H3N2	1992	GISAID
A/Netherlands/891/1991	EPI_ISL_114609	A	H3N2	1991	GISAID
A/Netherlands/91/1996	EPI_ISL_115567	A	H3N2	1996	GISAID
A/Netherlands/935/1992	EPI_ISL_114659	A	H3N2	1992	GISAID
A/Netherlands/938/1992	EPI_ISL_114660	A	H3N2	1991	GISAID
A/Nevada/5/2007	EPI_ISL_15411	A	H3N2	2007	GISAID
A/NewCaledonia/20/2003	EPI_ISL_67242	A	H3N2	2003	GISAID
A/NewCaledonia/6/2002	EU501162	A	H3N2	2002	IRD
A/NewYork/55/2004	EPI_ISL_22628	A	H3N2	2004	GISAID
A/Nice/491/1997	EPI_ISL_111339	A	H3N2	1996	GISAID
A/Nijmegen/3126/1992	EPI_ISL_114705	A	H3N2	1992	GISAID
A/Nijmegen/3129/1992	EPI_ISL_114706	A	H3N2	1992	GISAID
A/NordrheinWestfalen/1/2010	EPI_ISL_77118	A	H3N2	2010	GISAID
A/NorthCarolina/13/2005	EPI_ISL_11608	A	H3N2	2005	GISAID
A/NorthDakota/1/2004	EPI_ISL_21241	A	H3N2	2004	GISAID
A/Norway/1/2009	EPI_ISL_61756	A	H3N2	2008	GISAID
A/Norway/1762/2011	EPI_ISL_95094	A	H3N2	2011	GISAID
A/Norway/1775/2011	EPI_ISL_95095	A	H3N2	2011	GISAID
A/Norway/3789/2009	EPI_ISL_77128	A	H3N2	2009	GISAID
A/Norway/3790/2009	EPI_ISL_77129	A	H3N2	2009	GISAID
A/Okayama/29/2005	EPI_ISL_17495	A	H3N2	2005	GISAID
A/Oklahoma/5/1988	EPI_ISL_115768	A	H3N2	1988	GISAID
A/Oklahoma/8/2004	EPI_ISL_67261	A	H3N2	2003	GISAID
A/Osaka/56/2004	EPI_ISL_65565	A	H3N2	2004	GISAID
A/Oslo/13676/1983	EPI_ISL_114245	A	H3N2	1983	GISAID
A/Oslo/21/1997	EPI_ISL_111315	A	H3N2	1997	GISAID
A/Oslo/2352/1993	CY112877	A	H3N2	1993	IRD
A/Oslo/244/1997	CY112645	A	H3N2	1997	IRD
A/Oviedo/31/1992	EPI_ISL_114707	A	H3N2	1991	GISAID
A/Panama/2007/1999	EPI_ISL_2674	A	H3N2	1999	GISAID
A/Paris/207/2002	EPI_ISL_67668	A	H3N2	2002	GISAID
A/Paris/320/1992	EPI_ISL_114708	A	H3N2	1991	GISAID
A/Paris/325/1992	EPI_ISL_114709	A	H3N2	1991	GISAID
A/Paris/407/1992	EPI_ISL_114710	A	H3N2	1991	GISAID
A/Paris/424/1992	EPI_ISL_114759	A	H3N2	1991	GISAID
A/Paris/457/1992	EPI_ISL_114760	A	H3N2	1991	GISAID
A/Paris/458/2008	EPI_ISL_61719	A	H3N2	2008	GISAID
A/Paris/467/1992	EPI_ISL_114761	A	H3N2	1991	GISAID
A/Paris/490/1992	EPI_ISL_4296	A	H3N2	1992	GISAID
A/Paris/512/1992	EPI_ISL_114762	A	H3N2	1991	GISAID
A/Paris/548/1992	EPI_ISL_114763	A	H3N2	1991	GISAID
A/Paris/564/1992	EPI_ISL_114811	A	H3N2	1991	GISAID
A/Paris/583/1992	EPI_ISL_114812	A	H3N2	1992	GISAID
A/Paris/597/1992	EPI_ISL_114813	A	H3N2	1991	GISAID
A/Paris/614/1992	EPI_ISL_114814	A	H3N2	1992	GISAID
A/Perth/10/2010	EPI_ISL_78687	A	H3N2	2010	GISAID
A/Perth/16/2009	EPI_ISL_31055	A	H3N2	2009	GISAID
A/Peru/1296/2004	EPI_ISL_17285	A	H3N2	2004	GISAID
A/Philippines/1159050/2002	EU514667	A	H3N2	2002	IRD
A/Philippines/2191/2009	EPI_ISL_66607	A	H3N2	2009	GISAID
A/Philippines/2/1982	EPI_ISL_76487	A	H3N2	1982	GISAID
A/Philippines/472/2002	EPI_ISL_16949	A	H3N2	2002	GISAID
A/Philippines/825/2003	EPI_ISL_11977	A	H3N2	2003	GISAID
A/Poitiers/1341/2008	EPI_ISL_61723	A	H3N2	2008	GISAID
A/PortChalmers/1/1973	EPI_ISL_113916	A	H3N2	1973	GISAID
A/Pusan/504/2002	EPI_ISL_3919	A	H3N2	2002	GISAID
A/RhodeIsland/1/2010	CY121800	A	H3N2	2010	IRD
A/Romania/802-03/2003	EPI_ISL_18064	A	H3N2	2003	GISAID
A/Rotterdam/577/1980	EPI_ISL_110861	A	H3N2	1980	GISAID
A/Rotterdam/5828/1977	EPI_ISL_114019	A	H3N2	1977	GISAID
A/Rotterdam/8179/1977	EPI_ISL_114196	A	H3N2	1977	GISAID
A/Sakai/20/2011	EPI_ISL_93012	A	H3N2	2011	GISAID
A/Sendai/C273/1992	EPI_ISL_110995	A	H3N2	1992	GISAID
A/Seoul/1/1990	AY661072	A	H3N2	1990	IRD
A/Seoul/4436/2008	EPI_ISL_61735	A	H3N2	2008	GISAID
A/Serres/77/2007	EPI_ISL_20632	A	H3N2	2007	GISAID
A/Shandong/9/1993	EPI_ISL_115410	A	H3N2	1993	GISAID
A/Shanghai/11/1987	EPI_ISL_114294	A	H3N2	1987	GISAID
A/Shanghai/24/1990	EPI_ISL_114454	A	H3N2	1990	GISAID
A/Shanghai/369/2003	EPI_ISL_67277	A	H3N2	2003	GISAID
A/Shiga/6/1993	CY112653	A	H3N2	1993	IRD
A/Sichuan/2/1987	EPI_ISL_110865	A	H3N2	1987	GISAID
A/Singapore/1/1996	EPI_ISL_111270	A	H3N2	1996	GISAID
A/Singapore/15/2001	EPI_ISL_100404	A	H3N2	2001	GISAID
A/Singapore/34/1989	EPI_ISL_114396	A	H3N2	1989	GISAID
A/Singapore/35/1989	EPI_ISL_114397	A	H3N2	1989	GISAID
A/Singapore/35/2005	EU501773	A	H3N2	2005	IRD
A/Singapore/36/1989	EPI_ISL_115411	A	H3N2	1989	GISAID
A/Singapore/36/2004	EPI_ISL_21116	A	H3N2	2004	GISAID
A/Singapore/37/2004	EPI_ISL_12068	A	H3N2	2004	GISAID
A/Singapore/38/2005	EU501774	A	H3N2	2005	IRD
A/Singapore/40/1989	EPI_ISL_114398	A	H3N2	1989	GISAID
A/Singapore/53/1989	EPI_ISL_110909	A	H3N2	1989	GISAID
A/Singapore/57/2006	EU502049	A	H3N2	2006	IRD
A/Singapore/70/2005	DQ865951	A	H3N2	2005	IRD
A/Singapore/95/2003	EU501320	A	H3N2	2003	IRD
A/Singapore/N593/2008	EPI_ISL_61726	A	H3N2	2008	GISAID
A/Sofia/141/2003	EU501322	A	H3N2	2003	IRD
A/Sofia/319/2007	EPI_ISL_20633	A	H3N2	2007	GISAID
A/SouthAustralia/102/2001	EU501121	A	H3N2	2001	IRD
A/SouthAustralia/15/1994	EPI_ISL_111135	A	H3N2	1994	GISAID
A/SouthAustralia/23/1992	AY661127	A	H3N2	1992	IRD
A/SouthAustralia/25/1994	EPI_ISL_111170	A	H3N2	1994	GISAID
A/SouthAustralia/27/1992	AY661128	A	H3N2	1992	IRD
A/SouthAustralia/3/2011	EPI_ISL_95227	A	H3N2	2011	GISAID
A/SouthAustralia/8/1992	EPI_ISL_110996	A	H3N2	1992	GISAID
A/Stockholm/10/1985	EPI_ISL_114249	A	H3N2	1985	GISAID
A/Stockholm/112/2009	EPI_ISL_68574	A	H3N2	2009	GISAID
A/Stockholm/1/2010	EPI_ISL_81390	A	H3N2	2010	GISAID
A/Stockholm/12/1988	EPI_ISL_114298	A	H3N2	1988	GISAID
A/Stockholm/12/1992	EPI_ISL_114868	A	H3N2	1992	GISAID
A/Stockholm/13/1992	EPI_ISL_114869	A	H3N2	1992	GISAID
A/Stockholm/18/2011	EPI_ISL_90426	A	H3N2	2011	GISAID
A/Stockholm/20/1991	EPI_ISL_110951	A	H3N2	1991	GISAID
A/Stockholm/20/1993	EPI_ISL_111081	A	H3N2	1993	GISAID
A/Stockholm/2/2010	EPI_ISL_81391	A	H3N2	2010	GISAID
A/Stockholm/26/2008	EPI_ISL_70811	A	H3N2	2008	GISAID
A/Stockholm/7/1992	EPI_ISL_114867	A	H3N2	1992	GISAID
A/Stockholm/8/1992	EPI_ISL_110997	A	H3N2	1992	GISAID
A/Stockholm/89/2009	EPI_ISL_68567	A	H3N2	2009	GISAID
A/Sweden/2/2009	EPI_ISL_68566	A	H3N2	2009	GISAID
A/Sweden/3/2008	EPI_ISL_70653	A	H3N2	2008	GISAID
A/Switzerland/1397477/2008	EPI_ISL_61731	A	H3N2	2008	GISAID
A/Switzerland/1409281/2008	EPI_ISL_61732	A	H3N2	2008	GISAID
A/Sydney/5/1997	EPI_ISL_111337	A	H3N2	1997	GISAID
A/Taiwan/1529/2003	EPI_ISL_17108	A	H3N2	2003	GISAID
A/Taiwan/51/2005	EPI_ISL_10419	A	H3N2	2005	GISAID
A/Taiwan/760/2007	EPI_ISL_22363	A	H3N2	2007	GISAID
A/Taiwan/8/2002	EPI_ISL_16964	A	H3N2	2002	GISAID
A/Taiwan/83/2006	EU124073	A	H3N2	2006	IRD
A/Taiwan/99/2006	EPI_ISL_17795	A	H3N2	2006	GISAID
A/Tanger/533/2009	EPI_ISL_61768	A	H3N2	2008	GISAID
A/Tennessee/6/2004	EPI_ISL_11815	A	H3N2	2004	GISAID
A/Texas/1/1977	EPI_ISL_114197	A	H3N2	1977	GISAID
A/Texas/37/2007	EPI_ISL_21289	A	H3N2	2007	GISAID
A/Texas/40/2003	EF473582	A	H3N2	2003	IRD
A/Texas/6/2004	EPI_ISL_11817	A	H3N2	2004	GISAID
A/Tilburg/5957/1992	EPI_ISL_114870	A	H3N2	1991	GISAID
A/Torino/14/2008	EPI_ISL_61751	A	H3N2	2008	GISAID
A/Toulon/1244/2006	EPI_ISL_20276	A	H3N2	2006	GISAID
A/Toulouse/878/2001	EPI_ISL_121223	A	H3N2	2001	GISAID
A/Townsville/1/2003	EPI_ISL_67296	A	H3N2	2003	GISAID
A/Trieste/25c/2007	EPI_ISL_98951	A	H3N2	2007	GISAID
A/Ukraine/13/2006	EPI_ISL_17812	A	H3N2	2006	GISAID
A/Ulaanbaatar/3849/2010	EPI_ISL_87879	A	H3N2	2010	GISAID
A/Umea/2000/1992	EPI_ISL_114872	A	H3N2	1992	GISAID
A/Umea/4/2009	EPI_ISL_68571	A	H3N2	2009	GISAID
A/Uppsala/3/2011	EPI_ISL_90058	A	H3N2	2011	GISAID
A/Uruguay/716/2007	CY121632	A	H3N2	2007	IRD
A/Uvurkhangai/3970/2010	EPI_ISL_87878	A	H3N2	2010	GISAID
A/Victoria/102/2003	EU501345	A	H3N2	2002	IRD
