strain	accession	type	subtype	year	database
B/Panama/307237/2010	EPI_ISL_79382	B	Vic	2010	GISAID
B/Paris/1762/2009	EPI_ISL_60846	B	Vic	2009	GISAID
B/Parma/1/2003	EPI_ISL_2862	B	Vic	2003	GISAID
B/Parma/2/2004	EPI_ISL_2865	B	Vic	2004	GISAID
B/Parma/28/2002	EPI_ISL_2869	B	Vic	2002	GISAID
B/Parma/3/2004	EPI_ISL_2870	B	Vic	2004	GISAID
B/Pennsylvania/5/2007	EPI_ISL_15520	B	Vic	2007	GISAID
B/Perth/1/2006	EPI_ISL_13410	B	Vic	2006	GISAID
B/Perth/14/2006	EPI_ISL_13425	B	Vic	2006	GISAID
B/Philippines/1506/2006	EPI_ISL_13426	B	Vic	2006	GISAID
B/Philippines/5072/2001	AY139046	B	NA	2001	IRD
B/Phitsanulok/2053/2004	EPI_ISL_12240	B	Vic	2004	GISAID
B/Roma/1/2003	AJ842074	B	NA	2003	IRD
B/Roma/2/2003	AJ842089	B	NA	2003	IRD
B/Roma/3/2003	EPI_ISL_2880	B	Vic	2003	GISAID
B/Romania/700/2005	EPI_ISL_21586	B	Vic	2005	GISAID
B/Sabac/1232/2009	EPI_ISL_60064	B	Vic	2009	GISAID
B/Santiago/6025/2011	EPI_ISL_104051	B	Vic	2011	GISAID
B/Shandong/7/1997	EPI_ISL_1790	B	Vic	1997	GISAID
B/Shanghai/1392/2011	EPI_ISL_94634	B	Vic	2011	GISAID
B/Singapore/21/2009	EPI_ISL_60161	B	Vic	2009	GISAID
B/Slovakia/1731/2010	EPI_ISL_85706	B	Vic	2010	GISAID
B/Stockholm/10/2010	EPI_ISL_85738	B	Vic	2010	GISAID
B/Stockholm/1/2010	EPI_ISL_68267	B	Vic	2010	GISAID
B/Stockholm/2/2010	EPI_ISL_71846	B	Vic	2010	GISAID
B/Stockholm/3/2010	EPI_ISL_75783	B	Vic	2010	GISAID
B/Stockholm/5/2010	EPI_ISL_75785	B	Vic	2010	GISAID
B/Stockholm/7/2010	EPI_ISL_85689	B	Vic	2010	GISAID
B/Stockholm/8/2009	EPI_ISL_68266	B	Vic	2009	GISAID
B/Stockholm/9/2010	EPI_ISL_85737	B	Vic	2010	GISAID
B/StPetersburg/17/2006	EPI_ISL_21616	B	Vic	2006	GISAID
B/Switzerland/5632623/2011	EPI_ISL_106877	B	Vic	2011	GISAID
B/Sydney/12/2006	EPI_ISL_13424	B	Vic	2006	GISAID
B/Sydney/88/2006	EPI_ISL_13429	B	Vic	2006	GISAID
B/Taiwan/11/2010	EPI_ISL_79388	B	Vic	2010	GISAID
B/Taiwan/14/2004	EPI_ISL_11198	B	Vic	2004	GISAID
B/Taiwan/39/2004	EPI_ISL_11199	B	Vic	2004	GISAID
B/Taiwan/61/2004	EPI_ISL_11205	B	Vic	2004	GISAID
B/Taiwan/74/2004	EPI_ISL_11203	B	Vic	2004	GISAID
B/Taiwan/75/2004	EPI_ISL_11204	B	Vic	2004	GISAID
B/Tehran/5277/2010	EPI_ISL_85710	B	Vic	2010	GISAID
B/Tehran/80/2002	EPI_ISL_2822	B	Vic	2002	GISAID
B/Texas/26/2008	EPI_ISL_28238	B	Vic	2008	GISAID
B/Texas/34/2008	EPI_ISL_28262	B	Vic	2008	GISAID
B/Texas/37/1988	CY019603	B	NA	1988	IRD
B/Texas/39/2006	EPI_ISL_13163	B	Vic	2006	GISAID
B/Tokyo/91107/2011	EPI_ISL_103621	B	Vic	2011	GISAID
B/Trieste/1/2003	EPI_ISL_12747	B	Vic	2003	GISAID
B/Trieste/28/2002	EPI_ISL_2823	B	Vic	2002	GISAID
B/Tula/3/2007	EPI_ISL_20444	B	Vic	2007	GISAID
B/Turkey/389/2005	EPI_ISL_22486	B	Vic	2005	GISAID
B/Uruguay/12/2008	EPI_ISL_23970	B	Vic	2008	GISAID
B/Victoria/2/1987	EPI_ISL_6612	B	Vic	1987	GISAID
B/Victoria/304/2006	EPI_ISL_60844	B	Vic	2006	GISAID
B/Victoria/500/2007	EPI_ISL_23138	B	Vic	2007	GISAID
B/Victoria/505/2005	EPI_ISL_12250	B	Vic	2005	GISAID
B/Voronezh/20/2011	EPI_ISL_90702	B	Vic	2011	GISAID
B/Wellington/1/2006	EPI_ISL_13427	B	Vic	2006	GISAID
B/Wellington/85/2006	CY030214	B	NA	2006	IRD
B/Wisconsin/27/2008	EPI_ISL_28260	B	Vic	2008	GISAID
B/Yamaguchi/1/2010	EPI_ISL_79390	B	Vic	2010	GISAID
B/Yunnan/1491/2008	EPI_ISL_29571	B	Vic	2008	GISAID
